n_estimators,min_samples_split,n_jobs,max_depth,spa,bias,var,loss
2,4,0,1,0,0.3478888888888889,1.6647462277091683e-05,0.12104332647462278
2,0,0,2,2,0.3478888888888888,3.2641975308642186e-05,0.12105932098765426
4,3,0,3,2,0.3478888888888888,3.2943758573388166e-05,0.12105962277091901
2,0,0,1,0,0.34792592592592597,1.444993141289424e-05,0.12106689986282582
3,4,0,3,2,0.34792592592592586,2.0252400548696786e-05,0.12107270233196155
2,3,0,3,2,0.3479629629629629,1.1289437585733995e-05,0.12108951303155004
3,4,0,2,2,0.3480740740740741,1.6030178326474763e-05,0.1211715912208505
1,4,0,2,1,0.3480740740740741,2.1421124828532243e-05,0.12117698216735255
1,4,0,3,2,0.3482962962962963,2.2186556927297882e-05,0.12133249657064475
2,0,0,2,1,0.3483333333333334,9.231824417009596e-06,0.12134534293552815
1,2,0,2,2,0.3483333333333333,2.319615912208521e-05,0.12135930727023315
2,0,0,3,1,0.3483333333333334,2.8408779149519737e-05,0.12136451989026066
2,1,0,3,2,0.3484074074074075,3.384910836762704e-05,0.12142157064471885
4,4,0,3,2,0.34844444444444445,3.895198902606314e-05,0.1214524828532236
0,4,0,1,0,0.3484814814814815,1.523182441700944e-05,0.12145457475994514
2,1,0,2,2,0.3484814814814816,1.8139917695473412e-05,0.12145748285322369
2,0,0,3,2,0.34851851851851856,1.4759945130315472e-05,0.12147991769547327
2,3,0,2,2,0.34862962962962973,2.5796982167352478e-05,0.12156841563786015
4,3,0,1,1,0.34877777777777785,1.2367626886145467e-05,0.12165830589849114
1,1,0,3,1,0.3487407407407408,5.5437585733881934e-05,0.12167554183813448
1,1,0,3,2,0.34885185185185197,3.261179698216717e-05,0.12173022633744864
2,0,0,1,1,0.349,2.1997256515775123e-05,0.12182299725651576
2,2,0,3,2,0.349,2.9541838134430833e-05,0.12183054183813441
1,2,0,3,2,0.34903703703703703,1.3256515775034413e-05,0.121840109739369
4,4,0,2,2,0.3491481481481482,1.6194787379972638e-05,0.12192062414266122
3,3,0,3,2,0.3491481481481481,2.5577503429355202e-05,0.12193000685871053
2,3,0,1,1,0.34918518518518515,1.125651577503436e-05,0.12194155006858709
1,3,0,3,1,0.3493333333333333,1.2408779149519889e-05,0.12204618655692726
1,0,0,2,1,0.3493333333333333,3.8746227709190606e-05,0.12207252400548693
4,2,0,1,1,0.34937037037037033,2.0625514403292325e-05,0.12208028120713303
1,2,0,3,1,0.34937037037037033,6.468587105624141e-05,0.12212434156378597
0,4,0,2,1,0.3494814814814815,2.4230452674897238e-05,0.122161536351166
3,0,0,1,1,0.3495555555555555,2.1297668038408672e-05,0.12221038408779146
1,1,0,2,2,0.34962962962962973,1.337448559670783e-05,0.12225425240054877
4,0,0,1,1,0.3496296296296296,2.0631001371742102e-05,0.12226150891632373
2,1,0,3,1,0.34970370370370374,9.6241426611796e-06,0.12230230452674899
1,1,0,2,1,0.3497407407407407,3.836213991769541e-05,0.12235694787379968
3,0,0,1,2,0.34977777777777774,1.407956104252416e-05,0.12235857338820298
2,4,0,2,2,0.3498148148148148,2.519890260631004e-05,0.12239560356652948
3,3,0,1,1,0.34992592592592586,1.866392318244177e-05,0.122466817558299
0,4,0,2,2,0.34992592592592586,2.3519890260631243e-05,0.12247167352537719
0,3,0,2,2,0.34996296296296303,8.359396433470512e-06,0.1224824348422497
1,3,0,2,1,0.34999999999999987,4.0754458161865715e-05,0.12254075445816176
0,4,0,3,2,0.35011111111111115,1.7758573388203042e-05,0.12259554869684502
1,3,0,1,1,0.35011111111111115,1.8142661179698014e-05,0.12259593278463651
1,4,0,3,1,0.35029629629629633,3.8595336076817504e-05,0.12274609053497945
3,3,0,1,2,0.35037037037037044,9.368998628257994e-06,0.12276876543209882
3,2,0,1,1,0.3504074074074074,1.198079561042523e-05,0.1227973319615912
2,1,0,1,1,0.35037037037037033,3.939643347050789e-05,0.12279879286694098
0,3,0,3,2,0.35037037037037044,4.07681755829906e-05,0.12280016460905355
4,1,0,1,1,0.3504074074074074,2.4710562414266098e-05,0.12281006172839505
0,4,0,3,1,0.3504814814814814,3.341015089163232e-05,0.12287067901234562
1,3,0,2,2,0.3504814814814815,4.05432098765434e-05,0.1228778120713306
0,2,0,2,2,0.35051851851851856,2.757750342935525e-05,0.12289080932784639
1,0,0,1,2,0.3505555555555555,2.386831275720179e-05,0.12291306584362137
3,2,0,1,2,0.35059259259259257,1.3681755829903754e-05,0.12292884773662549
3,1,0,1,2,0.3506296296296296,7.772290809327895e-06,0.12294890946502057
0,3,0,3,1,0.3506666666666667,1.716872427983549e-05,0.12298427983539097
4,1,0,1,2,0.35066666666666657,2.3561042524005547e-05,0.12299067215363504
4,4,0,1,1,0.3508148148148148,1.5481481481481302e-05,0.12308651577503428
1,1,0,1,1,0.3508888888888888,2.616460905349819e-05,0.12314917695473244
2,4,0,1,1,0.3508888888888888,3.4984910836762685e-05,0.12315799725651572
3,1,0,1,1,0.3510000000000001,1.6318244170095935e-05,0.12321731824417016
2,2,0,1,1,0.351074074074074,1.9182441700960205e-05,0.12327218792866934
4,3,0,1,2,0.35111111111111115,2.262002743484223e-05,0.12330163237311388
1,4,0,1,1,0.35118518518518527,2.0282578875171403e-05,0.12335131687242804
1,3,0,3,2,0.3512222222222222,1.768998628257884e-05,0.12337473936899863
1,1,0,1,2,0.3512592592592594,1.9703703703703633e-05,0.1234027709190673
2,3,0,1,2,0.35125925925925927,2.0554183813442782e-05,0.12340362139917696
1,4,0,1,2,0.3512592592592594,2.4861454046639416e-05,0.12340792866941024
3,4,0,1,2,0.35144444444444445,2.48614540466393e-05,0.12353805898491084
2,2,0,1,2,0.3514814814814815,1.9108367626886202e-05,0.12355834019204391
0,2,0,3,2,0.35151851851851856,1.0814814814814713e-05,0.12357608367626889
4,2,0,1,2,0.3515555555555555,1.2669410150891776e-05,0.12360397805212617
0,3,0,1,1,0.3516296296296296,1.7522633744855923e-05,0.12366091906721535
1,0,0,2,2,0.3516296296296296,3.384636488340191e-05,0.1236772427983539
3,3,0,3,3,0.3516666666666667,2.3772290809327854e-05,0.12369321673525378
3,4,0,1,1,0.3517407407407408,2.058436213991768e-05,0.12374213305898495
4,2,0,2,3,0.35177777777777774,1.8252400548696916e-05,0.12376585733882028
4,4,0,1,2,0.3518148148148148,1.549245541838149e-05,0.12378915637860081
4,0,0,1,2,0.35185185185185186,1.8299039780521246e-05,0.12381802469135804
0,3,0,1,2,0.351925925925926,1.74019204389575e-05,0.1238692592592593
1,3,0,2,3,0.3520000000000001,1.2145404663923203e-05,0.12391614540466399
1,2,0,1,1,0.35203703703703704,1.725651577503436e-05,0.12394733196159123
3,4,0,2,3,0.35211111111111115,2.040603566529497e-05,0.12400264060356656
2,1,0,1,2,0.3521481481481481,5.604938271605018e-06,0.12401392318244167
4,3,0,2,3,0.3521481481481482,8.32098765432099e-06,0.12401663923182446
2,0,0,1,2,0.3521481481481482,1.3286694101508984e-05,0.12402160493827165
3,4,0,3,3,0.3521481481481482,1.6661179698216558e-05,0.12402497942386835
4,1,0,2,3,0.3521481481481482,1.834842249657043e-05,0.1240266666666667
2,3,0,2,3,0.35218518518518516,1.6356652949245542e-05,0.12405076131687241
0,0,0,2,2,0.35225925925925927,3.232373113854582e-05,0.12411890946502058
0,2,0,2,1,0.35229629629629633,1.6414266117969707e-05,0.12412909465020579
4,3,0,3,3,0.3522962962962962,2.0337448559670675e-05,0.12413301783264741
0,1,0,1,2,0.35237037037037033,2.5478737997256668e-05,0.12419035665294922
0,1,0,2,2,0.3524814814814816,6.976680384087724e-06,0.12425017146776415
0,2,0,1,2,0.35251851851851856,1.3739368998628363e-05,0.12428304526748973
0,4,0,1,2,0.35251851851851845,3.7319615912208265e-05,0.12430662551440325
2,4,0,3,3,0.3525555555555556,1.7248285322359385e-05,0.12431266803840883
2,4,0,1,2,0.35259259259259257,1.2702331961591358e-05,0.12433423868312755
1,2,0,1,2,0.35259259259259257,3.0164609053498252e-05,0.12435170096021947
0,2,0,1,1,0.3526296296296296,1.3887517146776526e-05,0.12436154320987654
0,3,0,2,1,0.3526666666666667,8.82853223593961e-06,0.12438260631001373
0,0,0,1,1,0.3527407407407408,2.4710562414266125e-05,0.12445074074074078
1,3,0,1,2,0.3528148148148148,1.8578875171467764e-05,0.12449687242798353
3,1,0,3,3,0.3528148148148149,1.9731138545953462e-05,0.1244980246913581
2,1,0,3,3,0.3528148148148148,3.7879286694101355e-05,0.12451617283950617
4,4,0,3,3,0.35285185185185186,1.2696844993141332e-05,0.12451712620027434
1,0,0,3,2,0.3528888888888889,2.6551440329218014e-05,0.12455711934156381
3,2,0,3,3,0.35292592592592587,2.2694101508916388e-05,0.12457940329218102
1,0,0,1,1,0.35292592592592587,2.9758573388202904e-05,0.12458646776406031
3,3,0,2,3,0.353,2.6548696844993168e-05,0.12463554869684498
4,0,0,3,3,0.35303703703703704,1.9541838134430824e-05,0.12465469135802469
2,3,0,3,3,0.3531481481481482,6.131687242798232e-06,0.12471974622770923
3,2,0,2,3,0.35318518518518516,2.125377229080926e-05,0.12476102880658435
4,4,0,2,3,0.3532222222222222,2.096844993141294e-05,0.12478690672153635
4,1,0,3,3,0.35325925925925916,1.6990397805212618e-05,0.12480909465020569
1,4,0,2,3,0.3533333333333333,1.0041152263374558e-05,0.12485448559670778
1,0,0,2,3,0.35337037037037045,1.3764060356652973e-05,0.12488438271604943
1,2,0,1,3,0.3534074074074074,2.845816186556933e-05,0.1249252537722908
3,1,0,2,3,0.35344444444444445,6.043895747599461e-06,0.12492901920438958
0,0,0,1,2,0.35344444444444445,6.866941015089143e-06,0.12492984224965707
2,0,0,3,3,0.35344444444444445,1.8622770919067237e-05,0.12494159807956104
3,0,0,2,3,0.35344444444444445,2.6373113854595148e-05,0.12494934842249657
0,4,0,2,3,0.3534814814814815,3.451851851851851e-05,0.12498367626886148
4,2,0,3,3,0.35351851851851845,1.9396433470507544e-05,0.12499473936899859
2,4,0,2,3,0.35359259259259257,9.829903978052206e-06,0.1250375514403292
4,2,0,1,3,0.35359259259259257,2.6565157750343083e-05,0.12505428669410149
0,1,0,1,1,0.3535925925925927,3.157201646090528e-05,0.12505929355281212
0,4,0,1,1,0.3538148148148148,2.567352537722891e-05,0.12521059670781892
1,3,0,3,3,0.35385185185185186,1.900411522633766e-05,0.12523013717421128
0,1,0,3,2,0.35385185185185186,2.8935528120713434e-05,0.12524006858710565
4,0,0,2,3,0.35392592592592587,2.1939643347050764e-05,0.125285500685871
0,3,0,2,3,0.35411111111111104,1.0032921810699522e-05,0.12540471193415634
3,0,0,3,3,0.35411111111111104,3.4532235939643e-05,0.12542921124828527
0,1,0,2,1,0.3541481481481481,1.542661179698205e-05,0.12543633744855964
1,1,0,1,3,0.35418518518518516,2.324554183813422e-05,0.12547039094650203
3,3,0,1,3,0.3542592592592593,3.031550068587143e-05,0.12552993827160497
0,0,0,2,1,0.3542592592592593,3.377229080932764e-05,0.12553339506172842
2,2,0,3,3,0.3543333333333333,8.0329218106996e-06,0.12556014403292176
4,4,0,1,3,0.3543333333333333,2.8732510288065745e-05,0.12558084362139912
4,3,0,1,3,0.3544814814814815,3.6150891632373076e-05,0.1256932716049383
2,4,0,1,3,0.35462962962962974,3.0727023319615864e-05,0.12579290123456796
3,2,0,1,3,0.35462962962962963,4.1111111111111055e-05,0.12580328532235938
1,0,0,1,3,0.35462962962962963,4.437585733882017e-05,0.1258065500685871
3,0,0,1,3,0.35470370370370374,1.688065843621385e-05,0.12583159807956107
0,0,0,3,2,0.35477777777777786,1.200823045267482e-05,0.125879279835391
3,1,0,1,3,0.3547407407407407,4.362962962962964e-05,0.12588462277091905
4,1,0,1,3,0.35477777777777775,2.5149519890260707e-05,0.1258924211248285
2,2,0,2,3,0.35477777777777786,3.7097393689986455e-05,0.1259043689986283
1,4,0,3,3,0.3548148148148149,1.21536351165981e-05,0.125905706447188
4,0,0,1,3,0.3548148148148147,2.829903978052125e-05,0.12592185185185176
0,1,0,3,1,0.35485185185185186,2.4463648834019304e-05,0.12594430041152263
2,3,0,1,3,0.35485185185185186,5.213168724279868e-05,0.12597196844993142
2,2,0,1,3,0.3548888888888889,3.918518518518522e-05,0.12598530864197535
2,0,0,2,3,0.355,1.2290809327846273e-05,0.12603729080932785
0,2,0,1,3,0.3550740740740741,3.0543209876543156e-05,0.12610814128943762
1,1,0,2,3,0.3552222222222222,1.7001371742112555e-05,0.12619982853223594
3,4,0,1,3,0.3553333333333334,3.032098765432096e-05,0.12629209876543213
0,3,0,3,3,0.3554814814814815,2.5733882030178867e-06,0.12636965706447192
2,1,0,1,3,0.35544444444444445,3.561865569272952e-05,0.1263763717421125
2,1,0,2,3,0.35551851851851857,3.2844993141289306e-05,0.1264262620027435
0,2,0,3,1,0.35570370370370374,6.521810699588494e-05,0.12659034293552815
0,1,0,1,3,0.3558148148148148,3.301234567901221e-05,0.12663719478737998
2,0,0,1,3,0.3558148148148148,4.393141289437593e-05,0.12664811385459535
1,4,0,1,3,0.3560000000000001,2.7566529492455408e-05,0.12676356652949253
0,3,0,1,3,0.35611111111111116,1.9547325102880642e-05,0.12683467078189303
0,4,0,3,3,0.3562222222222222,1.82661179698215e-05,0.1269125377229081
0,0,0,1,3,0.3562592592592593,1.7577503429355137e-05,0.12693823731138545
1,3,0,1,3,0.3562592592592593,3.1418381344307426e-05,0.1269520781893004
0,2,0,3,3,0.3564814814814815,1.1303155006858728e-05,0.1270903497942387
1,2,0,2,3,0.35662962962962963,1.2117969821673531e-05,0.12719681069958846
1,2,0,3,3,0.35685185185185175,1.7352537722908165e-05,0.12736059670781888
1,1,0,3,3,0.35685185185185186,2.8957475994513255e-05,0.12737220164609056
0,0,0,3,1,0.3572592592592593,1.626063100137178e-05,0.12765043895747602
0,2,0,2,3,0.35737037037037045,1.4285322359396473e-05,0.12772786694101515
1,0,0,3,3,0.3576666666666667,1.5193415637860045e-05,0.1279406378600823
0,1,0,3,3,0.35896296296296293,1.9541838134430834e-05,0.12887395061728393
0,4,0,1,3,0.35892592592592587,6.0883401920438845e-05,0.12888870370370364
0,0,0,3,3,0.35962962962962963,1.5788751714677727e-05,0.12934925925925927
0,0,0,2,3,0.35977777777777786,2.0787379972565076e-05,0.12946083676268869
0,1,0,2,3,0.3602592592592593,3.6139917695473284e-05,0.12982287379972565
2,3,0,0,1,0.36229629629629634,1.3231824417009472e-05,0.13127183813443075
1,0,0,0,1,0.3624814814814814,1.442524005486949e-05,0.13140724965706443
3,3,0,0,1,0.3629999999999999,1.8373113854595255e-05,0.13178737311385452
4,2,0,0,1,0.36311111111111105,2.5039780521262045e-05,0.13187471879286689
4,4,0,0,1,0.3631481481481481,3.244170096021937e-05,0.13190901920438955
0,3,0,0,1,0.36318518518518517,2.3229080932784682e-05,0.13192670781893
4,3,0,0,1,0.36344444444444446,1.316323731138551e-05,0.13210502743484226
4,1,0,0,1,0.36344444444444446,2.2998628257887706e-05,0.13211486282578877
4,0,0,0,1,0.3634814814814814,1.626063100137166e-05,0.1321350480109739
3,2,0,0,1,0.3636666666666667,2.084224965706429e-05,0.13227428669410152
3,0,0,0,1,0.3638148148148148,1.5975308641975335e-05,0.13237719478737997
2,0,0,0,1,0.3638148148148148,1.5975308641975342e-05,0.13237719478737997
1,2,0,0,1,0.36396296296296293,2.181893004115212e-05,0.1324908573388203
2,2,0,0,1,0.36396296296296304,2.65102880658435e-05,0.13249554869684507
3,1,0,0,1,0.364,1.6565157750343056e-05,0.13251256515775034
1,4,0,0,1,0.36403703703703694,9.950617283950586e-06,0.13253291495198896
4,4,0,3,4,0.36403703703703705,3.170644718792833e-05,0.132554670781893
3,4,0,2,4,0.36403703703703694,3.3722908093278484e-05,0.1325566872427983
1,1,0,0,1,0.3641481481481481,2.314951989026064e-05,0.1326270233196159
2,1,0,0,1,0.3642592592592593,3.552812071330562e-05,0.13272033607681757
4,4,0,2,4,0.3642592592592593,3.946502057613181e-05,0.1327242729766804
3,4,0,0,1,0.3643333333333333,2.630452674897116e-05,0.13276508230452672
1,4,0,0,2,0.36444444444444446,2.7503429355281123e-05,0.13284725651577506
2,3,0,0,2,0.3645555555555555,2.297119341563781e-05,0.13292372427983534
3,3,0,2,4,0.3645925925925926,3.8400548696844814e-05,0.13296615912208504
4,1,0,0,2,0.3647407407407408,1.9212620027434843e-05,0.13305502057613175
2,4,0,0,1,0.3647407407407408,1.9679012345678945e-05,0.13305548696845
0,3,0,0,2,0.3647407407407407,2.4041152263374586e-05,0.1330598491083676
2,0,0,0,2,0.364925925925926,8.99314128943761e-06,0.13317992455418387
3,2,0,0,2,0.3650740740740741,2.1407407407407486e-05,0.13330048696844995
1,3,0,0,1,0.3651481481481482,5.149519890260725e-06,0.13333831961591225
3,0,0,0,2,0.3651481481481482,1.0759945130315397e-05,0.1333439300411523
3,4,0,0,2,0.3651481481481482,2.100685871056232e-05,0.13335417695473256
2,4,0,3,4,0.3651481481481482,2.5245541838134378e-05,0.13335841563786013
4,2,0,0,2,0.36529629629629634,1.9102880658436218e-05,0.13346048696844995
2,3,0,3,4,0.36529629629629623,2.06117969821676e-05,0.13346199588477362
1,4,0,2,4,0.3654814814814815,2.1023319615912463e-05,0.13359773662551444
3,3,0,0,2,0.36551851851851846,1.4353909465020769e-05,0.13361814128943755
3,4,0,3,4,0.3654814814814815,5.013168724279837e-05,0.1336268449931413
4,3,0,3,4,0.36555555555555563,2.8696844993141316e-05,0.13365956104252408
4,3,0,0,2,0.3655925925925927,2.2543209876543198e-05,0.13368048696845
1,1,0,0,2,0.3656666666666666,2.8060356652949316e-05,0.133740171467764
3,4,0,0,3,0.3656666666666666,2.893827160493831e-05,0.133741049382716
2,2,0,0,2,0.36570370370370375,2.1294924554183836e-05,0.13376049382716054
2,0,0,0,3,0.36570370370370375,2.4422496570644712e-05,0.133763621399177
3,0,0,0,3,0.36570370370370375,2.9155006858710585e-05,0.13376835390946507
1,3,0,0,2,0.36570370370370375,3.5135802469135536e-05,0.1337743347050755
2,1,0,1,4,0.36570370370370375,4.4024691358024646e-05,0.13378322359396438
0,4,0,3,4,0.36570370370370375,4.638408779149537e-05,0.13378558299039786
2,3,0,2,4,0.36570370370370375,5.409327846364921e-05,0.13379329218107
2,2,0,1,4,0.36577777777777776,3.506721536351177e-05,0.13382844993141288
