weights,n_neighbors,metric,spa,bias,var,loss
1,3,0,0,0.36211111111111105,1.1626886145404705e-05,0.1311360836762688
1,2,0,0,0.3630740740740739,8.2249657064472e-06,0.13183100823045255
0,3,0,0,0.3634814814814815,1.8482853223594103e-05,0.13213727023319619
1,1,0,0,0.36444444444444435,1.4183813443072889e-05,0.13283393689986275
0,2,0,0,0.3645555555555555,1.5097393689986452e-05,0.1329158504801097
1,3,0,2,0.36788888888888893,3.917695473251023e-06,0.13534615226337451
0,1,0,0,0.36788888888888893,1.5700960219478517e-05,0.13535793552812073
0,3,0,2,0.36870370370370364,5.006858710562374e-06,0.13594742798353904
1,2,0,1,0.3690740740740741,1.5212620027434662e-05,0.13623088477366257
1,0,0,0,0.3692592592592593,1.2908093278463776e-05,0.13636530864197535
1,2,0,2,0.3692592592592592,2.362139917695452e-05,0.13637602194787374
1,1,2,0,0.3698888888888888,2.607133058984914e-05,0.1368438614540466
1,1,1,0,0.3698888888888888,2.607133058984914e-05,0.1368438614540466
1,3,0,1,0.37,2.8161865569272958e-05,0.13692816186556928
0,2,0,1,0.37011111111111117,1.195610425240047e-05,0.13699419067215368
1,2,1,0,0.3701851851851852,2.7448559670781825e-05,0.13706451989026064
1,2,2,0,0.3701851851851852,2.7448559670781825e-05,0.13706451989026064
1,1,0,2,0.3707407407407406,4.141289437585749e-05,0.1374901097393689
1,1,0,1,0.3708148148148148,3.613991769547319e-05,0.13753976680384086
0,2,0,2,0.37096296296296294,2.7714677640603318e-05,0.1376412345679012
1,2,1,1,0.37129629629629624,5.780521262002747e-05,0.13791874485596703
1,2,2,1,0.37129629629629624,5.780521262002747e-05,0.13791874485596703
0,2,1,0,0.3714814814814815,2.272976680384094e-05,0.13802122085048013
0,2,2,0,0.3714814814814815,2.272976680384094e-05,0.13802122085048013
1,3,1,0,0.37155555555555553,1.6770919067215464e-05,0.1380703017832647
1,3,2,0,0.37155555555555553,1.6770919067215464e-05,0.1380703017832647
1,2,1,2,0.37188888888888894,2.5780521262002804e-05,0.1383271262002744
1,2,2,2,0.37188888888888894,2.5780521262002804e-05,0.1383271262002744
0,3,0,1,0.37196296296296294,2.9130315500686094e-05,0.13838557613168723
1,1,2,1,0.3721851851851852,5.4257887517146824e-05,0.13857606995884772
1,1,1,1,0.3721851851851852,5.4257887517146824e-05,0.13857606995884772
1,3,2,2,0.3722592592592593,9.100137174211385e-06,0.13858605624142661
1,3,1,2,0.3722592592592593,9.100137174211385e-06,0.13858605624142661
1,3,0,3,0.37255555555555553,1.7220850480109536e-05,0.13881486282578873
1,0,0,2,0.3725925925925926,1.6337448559670957e-05,0.13884157750342935
1,3,1,1,0.37262962962962953,4.192592592592578e-05,0.1388947668038408
1,3,2,1,0.37262962962962953,4.192592592592578e-05,0.1388947668038408
0,1,0,2,0.3727407407407407,4.551989026063127e-05,0.13898117969821672
0,3,2,0,0.3729259259259259,2.141838134430734e-05,0.13909516460905347
0,3,1,0,0.3729259259259259,2.141838134430734e-05,0.13909516460905347
0,3,1,2,0.37311111111111117,8.318244170095908e-06,0.13922021947873806
0,3,2,2,0.37311111111111117,8.318244170095908e-06,0.13922021947873806
0,2,2,1,0.37329629629629624,4.5437585733881935e-05,0.13939556241426607
0,2,1,1,0.37329629629629624,4.5437585733881935e-05,0.13939556241426607
0,0,0,0,0.37351851851851847,1.6748971193415626e-05,0.13953283264746225
1,2,0,3,0.37370370370370365,1.8998628257887632e-05,0.1396734567901234
0,1,0,1,0.37388888888888894,4.253772290809328e-05,0.13983543895747605
1,1,2,2,0.3739259259259259,2.686419753086421e-05,0.13984746227709188
1,1,1,2,0.3739259259259259,2.686419753086421e-05,0.13984746227709188
0,0,0,2,0.37455555555555553,1.5165980795610575e-05,0.14030703017832646
0,2,1,2,0.37455555555555553,2.6043895747599556e-05,0.14031790809327843
0,2,2,2,0.37455555555555553,2.6043895747599556e-05,0.14031790809327843
1,0,0,1,0.37477777777777777,2.9689986282578733e-05,0.14048807270233196
0,3,0,3,0.374925925925926,9.08916323731137e-06,0.14057853909465026
0,3,2,1,0.37503703703703706,3.56433470507546e-05,0.14068842249657065
0,3,1,1,0.37503703703703706,3.56433470507546e-05,0.14068842249657065
0,1,1,0,0.375148148148148,4.156927297668032e-05,0.1407777023319615
0,1,2,0,0.375148148148148,4.156927297668032e-05,0.1407777023319615
