nthread,gamma,subsample,objective,silent,reg_alpha,spa,bias,var,loss
0,1,2,0,0,3,0,0.336962962962963,3.592043895747616e-05,0.11357995884773667
0,2,2,0,0,3,0,0.336962962962963,3.592043895747616e-05,0.11357995884773667
0,0,2,0,0,3,0,0.336962962962963,3.592043895747616e-05,0.11357995884773667
0,3,2,0,0,3,0,0.33737037037037043,3.392866941015105e-05,0.11385269547325107
0,0,2,0,0,0,0,0.3384444444444443,2.9528120713305656e-05,0.11457417009602186
0,1,2,0,0,0,0,0.3384444444444443,2.9528120713305656e-05,0.11457417009602186
0,2,2,0,0,0,0,0.3384444444444443,2.9528120713305656e-05,0.11457417009602186
0,3,2,0,0,0,0,0.3384444444444443,2.9528120713305656e-05,0.11457417009602186
0,2,3,0,0,3,0,0.33844444444444444,4.565980795610414e-05,0.11459030178326475
0,1,3,0,0,3,0,0.33844444444444444,4.565980795610414e-05,0.11459030178326475
0,0,3,0,0,3,0,0.33844444444444444,4.565980795610414e-05,0.11459030178326475
0,1,2,0,0,2,0,0.33859259259259267,3.2504801097393546e-05,0.11467744855967084
0,2,2,0,0,2,0,0.33859259259259267,3.2504801097393546e-05,0.11467744855967084
0,0,2,0,0,2,0,0.33859259259259267,3.2504801097393546e-05,0.11467744855967084
0,3,2,0,0,2,0,0.33859259259259267,3.2504801097393546e-05,0.11467744855967084
0,3,2,0,0,1,0,0.33866666666666656,3.17338820301782e-05,0.11472684499314122
0,3,3,0,0,3,0,0.33877777777777773,4.701783264746219e-05,0.11481740054869681
0,0,2,0,0,1,0,0.33885185185185185,3.263923182441685e-05,0.11485321673525377
0,2,2,0,0,1,0,0.33885185185185185,3.263923182441685e-05,0.11485321673525377
0,1,2,0,0,1,0,0.33885185185185185,3.263923182441685e-05,0.11485321673525377
0,0,3,0,0,2,0,0.3388888888888889,5.3484224965706306e-05,0.11489916323731139
0,2,3,0,0,2,0,0.3388888888888889,5.3484224965706306e-05,0.11489916323731139
0,1,3,0,0,2,0,0.3388888888888889,5.3484224965706306e-05,0.11489916323731139
0,3,3,0,0,2,0,0.339037037037037,5.35171467764059e-05,0.11499962962962962
0,0,1,0,0,3,0,0.3393333333333334,4.0529492455418306e-05,0.11518764060356657
0,1,1,0,0,3,0,0.3393333333333334,4.0529492455418306e-05,0.11518764060356657
0,2,1,0,0,3,0,0.3393333333333334,4.0529492455418306e-05,0.11518764060356657
0,1,0,0,0,2,0,0.3393333333333334,5.4178326474622546e-05,0.11520128943758577
