kernel,gamma,C,spa,bias,var,loss
1,1,1,4,0.3815925925925926,2.40274348422498e-05,0.1456369341563786
0,2,3,4,0.38170370370370377,3.882578875171473e-05,0.1457365432098766
0,3,0,4,0.38170370370370377,3.882578875171473e-05,0.1457365432098766
0,1,1,0,0.3822592592592594,2.851028806584375e-05,0.14615065157750354
1,0,0,3,0.3831481481481481,1.3292181069958744e-05,0.14681579561042524
0,2,1,2,0.3831481481481481,3.27709190672151e-05,0.1468352743484225
1,1,0,4,0.38681481481481483,1.7632373113854313e-05,0.14964333333333335
0,1,4,4,0.3876666666666667,6.826611796982197e-05,0.15035371056241428
0,2,2,4,0.3876666666666667,6.826611796982197e-05,0.15035371056241428
1,0,3,4,0.38881481481481484,2.5632373113854426e-05,0.1512025925925926
1,0,2,4,0.39003703703703707,1.5465020576131624e-05,0.15214435528120718
0,2,4,3,0.39022222222222225,4.3544581618655766e-05,0.15231692729766805
0,3,2,3,0.3902592592592592,4.324554183813451e-05,0.15234553497942382
1,0,1,4,0.39055555555555554,1.3429355281206984e-05,0.15254707133058984
0,1,3,2,0.3921111111111111,8.760768175582996e-05,0.15383873113854593
0,2,0,2,0.3921111111111111,8.760768175582996e-05,0.15383873113854593
1,0,0,4,0.39340740740740743,2.169547325102859e-05,0.1547910836762689
0,3,1,3,0.4380370370370371,0.00012940466392318204,0.19200585048010982
0,2,1,4,0.4667407407407407,0.0002784307270233188,0.21812534979423864
0,2,2,1,0.4682962962962962,0.00019058161865569308,0.21949200274348415
0,1,4,1,0.4682962962962962,0.00019058161865569308,0.21949200274348415
0,1,2,2,0.4798888888888889,0.0001972784636488342,0.23049062414266122
0,1,0,0,0.48511111111111105,0.00012057064471879293,0.23545336076817552
0,2,3,3,0.4855555555555555,0.0001070781893004114,0.23587127572016459
0,3,0,3,0.4855555555555555,0.0001070781893004114,0.23587127572016459
0,0,0,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,2,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,1,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,4,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,0,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,1,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,4,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,2,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,3,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,2,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,3,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,3,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,1,2,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,1,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,3,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,2,0,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,2,0,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,2,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,1,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,2,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,1,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,2,1,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,2,1,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,1,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,1,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,2,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,2,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,2,0,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,2,2,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,4,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,0,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,3,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,3,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,4,0,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,0,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,3,0,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,4,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,3,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,4,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,2,0,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,1,0,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,0,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,0,3,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,1,0,4,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,0,1,0.4860740740740741,0.000101116598079561,0.23636912208504804
0,0,0,0,0.4860740740740741,0.000101116598079561,0.23636912208504804
